date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:57	412580/412580	---M--	200	added ('OK')	image/jpg	etag:%2237adc0be93dfad018123b9be34c7eaff%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_slideshow1.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_slideshow1.jpg	(from https://www.valleyprepredlands.org/)
12:12:59	169974/169974	---M--	200	added ('OK')	image/jpg	etag:%220f777986f329786a90ec601c73c001ff%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/slideshow_113018_1.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/slideshow_113018_1.jpg	(from https://www.valleyprepredlands.org/)
12:13:04	153955/153955	---M--	200	added ('OK')	image/jpg	etag:%22a23f673ada5a8c7aac176d243e639e2a%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/slideshow_113018_2.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/slideshow_113018_2.jpg	(from https://www.valleyprepredlands.org/)
12:13:04	197166/197166	---M--	200	added ('OK')	image/jpg	etag:%22f916da176242fd05be40a914f7f48beb%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/slideshow_113018_3.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/slideshow_113018_3.jpg	(from https://www.valleyprepredlands.org/)
12:13:05	102034/102034	---M--	200	added ('OK')	image/jpg	etag:%22d18f7fb74553484de72f17d607e28550%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/slideshow_113018_4.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/slideshow_113018_4.jpg	(from https://www.valleyprepredlands.org/)
12:13:07	12408/12408	---MC-	200	added ('OK')	text/html	date:Fri,%2025%20Jan%202019%2006:42:47%20GMT	https://www.valleyprepredlands.org/Search	C:/My%20Web%20Sites/new%20school/www.valleyprepredlands.org/Search.html	(from https://www.valleyprepredlands.org/)
12:13:09	20895/20895	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202017%2002:05:17%20GMT	https://www.valleyprepredlands.org/assets/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/new%20school/www.valleyprepredlands.org/assets/js/jquery.magnific-popup.min.js	(from https://www.valleyprepredlands.org/)
12:13:10	8049/8049	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Apr%202017%2002:05:17%20GMT	https://www.valleyprepredlands.org/assets/css/magnific-popup.css	C:/My%20Web%20Sites/new%20school/www.valleyprepredlands.org/assets/css/magnific-popup.css	(from https://www.valleyprepredlands.org/)
12:13:12	192381/192381	---M--	200	added ('OK')	image/jpg	etag:%22700cc1bb821bf55d52c31a6e28efc1e4%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_MissionVision.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_MissionVision.jpg	(from https://www.valleyprepredlands.org/)
12:13:12	50379/50379	---M--	200	added ('OK')	image/jpg	etag:%22f015ae142928ef67dda20b4d2f9a1de0%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_ChooseUs.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_ChooseUs.jpg	(from https://www.valleyprepredlands.org/)
12:13:13	37981/37981	---M--	200	added ('OK')	image/jpg	etag:%22cb65fcaf85e366762395c4cfeda88756%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_VPSParents.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_VPSParents.jpg	(from https://www.valleyprepredlands.org/)
12:13:13	41767/41767	---M--	200	added ('OK')	image/jpg	etag:%229cb96cbd08162cb56ebf8d798a1c5fdf%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_CurriculumOverview.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_CurriculumOverview.jpg	(from https://www.valleyprepredlands.org/)
12:13:14	62576/62576	---M--	200	added ('OK')	image/jpg	etag:%22bb299d9fbc4680563eba29bbd0cc972a%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_GlobalUnderstanding.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_GlobalUnderstanding.jpg	(from https://www.valleyprepredlands.org/)
12:13:15	34838/34838	---M--	200	added ('OK')	image/jpg	etag:%2281554353951a1046febcf69ba5b003e6%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_STEAM.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_STEAM.jpg	(from https://www.valleyprepredlands.org/)
12:13:16	49508/49508	---M--	200	added ('OK')	image/jpg	etag:%22f7fef15ff09b9bb9723ebcbf49b728e3%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_FieldTrips.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_FieldTrips.jpg	(from https://www.valleyprepredlands.org/)
12:13:16	44698/44698	---M--	200	added ('OK')	image/jpg	etag:%2277ed9c3af525c233d5f4efa363ed26ee%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_ApplicationProcess.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_QuickLinks_ApplicationProcess.jpg	(from https://www.valleyprepredlands.org/)
12:13:18	1207/1207	---M--	200	added ('OK')	text/css	etag:%2278047d6c2d6e61624be8ab53f040f58d%22	https://tb2cdn.schoolwebmasters.com/accnt_1/site_13146/Owl%20Carousel%20Plugin/OwlCarousel.css	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_1/site_13146/Owl%20Carousel%20Plugin/OwlCarousel.css	(from https://www.valleyprepredlands.org/)
12:13:18	186199/186199	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ad2406c10221e44603e8e3996f462f5f%22	https://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/new%20school/connect.facebook.net/en_US/sdk.js	(from https://www.valleyprepredlands.org/)
12:13:18	1282/1282	---M--	200	added ('OK')	text/css	etag:%22317c33b9064466832c40b3a90ec6bcbc%22	https://tb2cdn.schoolwebmasters.com/accnt_1/site_13146/Owl%20Carousel%20Plugin/OwlTheme.css	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_1/site_13146/Owl%20Carousel%20Plugin/OwlTheme.css	(from https://www.valleyprepredlands.org/)
12:13:20	29852/29852	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2015%20Aug%202017%2017:46:30%20GMT	https://tb2cdn.schoolwebmasters.com/accnt_1/site_13146/Owl%20Carousel%20Plugin/OwlCarousel.js	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_1/site_13146/Owl%20Carousel%20Plugin/OwlCarousel.js	(from https://www.valleyprepredlands.org/)
12:13:21	23663/23663	---M--	200	added ('OK')	image/png	etag:%2251693b226bb32c9f4cc9495d8da4b488%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_footer_ADACompliant.png	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_footer_ADACompliant.png	(from https://www.valleyprepredlands.org/)
12:13:22	18290/18290	---MC-	200	added ('OK')	text/html	date:Fri,%2025%20Jan%202019%2006:43:00%20GMT	https://www.valleyprepredlands.org/news	C:/My%20Web%20Sites/new%20school/www.valleyprepredlands.org/news-2.html	(from https://www.valleyprepredlands.org/)
12:13:22	7272/7272	---M--	200	added ('OK')	image/jpg	etag:%225ecf2154ec0d9a41c4e3f88ca7a627c1%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_footer_BackToTop.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_footer_BackToTop.jpg	(from https://www.valleyprepredlands.org/)
12:13:23	2193/2193	---M-Z	403	error ('Forbidden')	text/html	date:Fri,%2025%20Jan%202019%2006:43:03%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/new%20school/translate.google.com/translate_a/element.45a0d8.delayed	(from https://www.valleyprepredlands.org/)
12:13:25	143755/143755	---M--	200	added ('OK')	image/jpg	etag:%22f39ced619682cbc8aedc4f85b31e868f%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/background_testimonials.jpg	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/background_testimonials.jpg	(from https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/CSS%20and%20JS/home.css)
12:13:31	536329/536329	---M--	200	added ('OK')	image/png	etag:%2241633d841c250b3257f295dccc3afcb6%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/Header_AboutUs_2000px.png	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/Header_AboutUs_2000px.png	(from https://www.valleyprepredlands.org/About-Us)
12:13:35	109183/109183	---M--	200	added ('OK')	image/png	etag:%22d35854718e509a5c53a5ff604dac9563%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_ourmissionvision.png	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_ourmissionvision.png	(from https://www.valleyprepredlands.org/Our-Mission-and-Vision)
12:13:36	173403/173403	---M--	200	added ('OK')	image/png	etag:%22a2e758bbd51245034fecf72ed19cb7fd%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_ourschool.png	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_ourschool.png	(from https://www.valleyprepredlands.org/Our-School)
12:13:37	15911/15911	---M--	200	added ('OK')	image/png	etag:%2289563ea8e98fc2a8038c376c1aa1748c%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_facultystaff.png	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_facultystaff.png	(from https://www.valleyprepredlands.org/Faculty-and-Staff)
